Model,Chart Location,Tab,Tab Name,Session,Chart,Strategy,Account,Start Time,End Time,Template Name,Test Mode / Lane,Leader Instrument,Required Strategy Class,Required HUD / Messenger,Required Chart Indicators,Required Exporters,Required Background Processes,Required Output Files,Account/Logger Requirement,Preflight Check,EOD Check,Notes
V3D,Top 1,,Expansion A,RTH,Uni 40-80-120,Expansion_V3D,SimV3D-NQ-1A,,,Expansion_V3D,V3D Expansion lane 1A,NQ primary; ES parallel only when ES test tabs are active,Expansion_V3D,RegimeMatrixHUD_V3D on NQ leader chart; ES leader chart when ES tests are active; DataFolderPath=C:\Users\Valued Customer\NT8_Regimes\V3D,LiveDataExporter NQ/ES; ValueAreaExporter NQ/ES; OrderFlowSetupScanner NQ/ES; HUDMessenger/HUDMessengerV1B compiled,NQ_1min_export.txt; ES_1min_export.txt; ValueArea_NQ.csv; ValueArea_ES.csv; Active\Footprint_Export.csv,V3D_START.bat; Start_V3D_StageA_Macro.bat; Start_V3D_StageB_HMM.bat; Start_V3D_StageC_Supervisor.bat,V3D\NQ_RegimeMatrix_Latest.csv; V3D\ES_RegimeMatrix_Latest.csv; V3D\TradeLog; UNIFIED\AllModels_TradeLog_YYYYMMDD.csv after EOD,Use V3D embedded strategy trade log or TradeLogExporter_V3D; model_version must be V3D; account must match SimV3D row,Stage A/B/C open; HUD fresh; strategy can see InstancesV3D; Transition is blocked for directional lanes; account/template matches registry row,Confirm V3D trade rows are stamped V3D only for V3D accounts and included in unified export,V3D directional lanes must not trade on HMM=Transition after the Phase 1 gate repair.
V3D,Bottom 1,,Expansion B,RTH,Uni 60-120-180,Expansion_V3D_B,SimV3D-NQ-1B,,,Expansion_V3D_B,V3D Expansion lane 1B,NQ primary; ES parallel only when ES test tabs are active,Expansion_V3D_B,RegimeMatrixHUD_V3D on NQ leader chart; ES leader chart when ES tests are active; DataFolderPath=C:\Users\Valued Customer\NT8_Regimes\V3D,LiveDataExporter NQ/ES; ValueAreaExporter NQ/ES; OrderFlowSetupScanner NQ/ES; HUDMessenger/HUDMessengerV1B compiled,NQ_1min_export.txt; ES_1min_export.txt; ValueArea_NQ.csv; ValueArea_ES.csv; Active\Footprint_Export.csv,V3D_START.bat; Start_V3D_StageA_Macro.bat; Start_V3D_StageB_HMM.bat; Start_V3D_StageC_Supervisor.bat,V3D\NQ_RegimeMatrix_Latest.csv; V3D\ES_RegimeMatrix_Latest.csv; V3D\TradeLog; UNIFIED\AllModels_TradeLog_YYYYMMDD.csv after EOD,Use V3D embedded strategy trade log or TradeLogExporter_V3D; model_version must be V3D; account must match SimV3D row,Stage A/B/C open; HUD fresh; strategy can see InstancesV3D; Transition is blocked for directional lanes; account/template matches registry row,Confirm V3D trade rows are stamped V3D only for V3D accounts and included in unified export,V3D directional lanes must not trade on HMM=Transition after the Phase 1 gate repair.
V3D,Top 2,,Momentum A,RTH,1 min candle,Momentum_V3D,SimV3D-NQ-2A,,,Momentum_V3D,V3D Momentum lane 2A,NQ primary; ES parallel only when ES test tabs are active,Momentum_V3D,RegimeMatrixHUD_V3D on NQ leader chart; ES leader chart when ES tests are active; DataFolderPath=C:\Users\Valued Customer\NT8_Regimes\V3D,LiveDataExporter NQ/ES; ValueAreaExporter NQ/ES; OrderFlowSetupScanner NQ/ES; HUDMessenger/HUDMessengerV1B compiled,NQ_1min_export.txt; ES_1min_export.txt; ValueArea_NQ.csv; ValueArea_ES.csv; Active\Footprint_Export.csv,V3D_START.bat; Start_V3D_StageA_Macro.bat; Start_V3D_StageB_HMM.bat; Start_V3D_StageC_Supervisor.bat,V3D\NQ_RegimeMatrix_Latest.csv; V3D\ES_RegimeMatrix_Latest.csv; V3D\TradeLog; UNIFIED\AllModels_TradeLog_YYYYMMDD.csv after EOD,Use V3D embedded strategy trade log or TradeLogExporter_V3D; model_version must be V3D; account must match SimV3D row,Stage A/B/C open; HUD fresh; strategy can see InstancesV3D; Transition is blocked for directional lanes; account/template matches registry row,Confirm V3D trade rows are stamped V3D only for V3D accounts and included in unified export,V3D directional lanes must not trade on HMM=Transition after the Phase 1 gate repair.
V3D,Bottom 2,,Momentum B,RTH,3 min candle,Momentum_V3D_B,SimV3D-NQ-2B,,,Momentum_V3D_B,V3D Momentum lane 2B,NQ primary; ES parallel only when ES test tabs are active,Momentum_V3D_B,RegimeMatrixHUD_V3D on NQ leader chart; ES leader chart when ES tests are active; DataFolderPath=C:\Users\Valued Customer\NT8_Regimes\V3D,LiveDataExporter NQ/ES; ValueAreaExporter NQ/ES; OrderFlowSetupScanner NQ/ES; HUDMessenger/HUDMessengerV1B compiled,NQ_1min_export.txt; ES_1min_export.txt; ValueArea_NQ.csv; ValueArea_ES.csv; Active\Footprint_Export.csv,V3D_START.bat; Start_V3D_StageA_Macro.bat; Start_V3D_StageB_HMM.bat; Start_V3D_StageC_Supervisor.bat,V3D\NQ_RegimeMatrix_Latest.csv; V3D\ES_RegimeMatrix_Latest.csv; V3D\TradeLog; UNIFIED\AllModels_TradeLog_YYYYMMDD.csv after EOD,Use V3D embedded strategy trade log or TradeLogExporter_V3D; model_version must be V3D; account must match SimV3D row,Stage A/B/C open; HUD fresh; strategy can see InstancesV3D; Transition is blocked for directional lanes; account/template matches registry row,Confirm V3D trade rows are stamped V3D only for V3D accounts and included in unified export,V3D directional lanes must not trade on HMM=Transition after the Phase 1 gate repair.
V3D,Top 3,,Fader A,RTH,1 min candle,Fader_V3D,SimV3D-NQ-3A,,,Fader_V3D A,V3D Fader lane 3A,NQ primary; ES parallel only when ES test tabs are active,Fader_V3D,RegimeMatrixHUD_V3D on NQ leader chart; ES leader chart when ES tests are active; DataFolderPath=C:\Users\Valued Customer\NT8_Regimes\V3D,LiveDataExporter NQ/ES; ValueAreaExporter NQ/ES; OrderFlowSetupScanner NQ/ES; HUDMessenger/HUDMessengerV1B compiled,NQ_1min_export.txt; ES_1min_export.txt; ValueArea_NQ.csv; ValueArea_ES.csv; Active\Footprint_Export.csv,V3D_START.bat; Start_V3D_StageA_Macro.bat; Start_V3D_StageB_HMM.bat; Start_V3D_StageC_Supervisor.bat,V3D\NQ_RegimeMatrix_Latest.csv; V3D\ES_RegimeMatrix_Latest.csv; V3D\TradeLog; UNIFIED\AllModels_TradeLog_YYYYMMDD.csv after EOD,Use V3D embedded strategy trade log or TradeLogExporter_V3D; model_version must be V3D; account must match SimV3D row,Stage A/B/C open; HUD fresh; strategy can see InstancesV3D; Transition is blocked for directional lanes; account/template matches registry row,Confirm V3D trade rows are stamped V3D only for V3D accounts and included in unified export,V3D directional lanes must not trade on HMM=Transition after the Phase 1 gate repair.
V3D,Bottom 3,,Fader B,RTH,5 min candle,Fader_V3D_B,SimV3D-NQ-3B,,,Fader_V3D_B,V3D Fader lane 3B,NQ primary; ES parallel only when ES test tabs are active,Fader_V3D_B,RegimeMatrixHUD_V3D on NQ leader chart; ES leader chart when ES tests are active; DataFolderPath=C:\Users\Valued Customer\NT8_Regimes\V3D,LiveDataExporter NQ/ES; ValueAreaExporter NQ/ES; OrderFlowSetupScanner NQ/ES; HUDMessenger/HUDMessengerV1B compiled,NQ_1min_export.txt; ES_1min_export.txt; ValueArea_NQ.csv; ValueArea_ES.csv; Active\Footprint_Export.csv,V3D_START.bat; Start_V3D_StageA_Macro.bat; Start_V3D_StageB_HMM.bat; Start_V3D_StageC_Supervisor.bat,V3D\NQ_RegimeMatrix_Latest.csv; V3D\ES_RegimeMatrix_Latest.csv; V3D\TradeLog; UNIFIED\AllModels_TradeLog_YYYYMMDD.csv after EOD,Use V3D embedded strategy trade log or TradeLogExporter_V3D; model_version must be V3D; account must match SimV3D row,Stage A/B/C open; HUD fresh; strategy can see InstancesV3D; Transition is blocked for directional lanes; account/template matches registry row,Confirm V3D trade rows are stamped V3D only for V3D accounts and included in unified export,V3D directional lanes must not trade on HMM=Transition after the Phase 1 gate repair.
V3D,Top 4,,Sniper Pullbacks A,RTH,3 min candle,Sniper_V3D,SimV3D-NQ-4A,,,Sniper_V3D 3m,V3D Sniper lane 4A,NQ primary; ES parallel only when ES test tabs are active,Sniper_V3D,RegimeMatrixHUD_V3D on NQ leader chart; ES leader chart when ES tests are active; DataFolderPath=C:\Users\Valued Customer\NT8_Regimes\V3D,LiveDataExporter NQ/ES; ValueAreaExporter NQ/ES; OrderFlowSetupScanner NQ/ES; HUDMessenger/HUDMessengerV1B compiled,NQ_1min_export.txt; ES_1min_export.txt; ValueArea_NQ.csv; ValueArea_ES.csv; Active\Footprint_Export.csv,V3D_START.bat; Start_V3D_StageA_Macro.bat; Start_V3D_StageB_HMM.bat; Start_V3D_StageC_Supervisor.bat,V3D\NQ_RegimeMatrix_Latest.csv; V3D\ES_RegimeMatrix_Latest.csv; V3D\TradeLog; UNIFIED\AllModels_TradeLog_YYYYMMDD.csv after EOD,Use V3D embedded strategy trade log or TradeLogExporter_V3D; model_version must be V3D; account must match SimV3D row,Stage A/B/C open; HUD fresh; strategy can see InstancesV3D; Transition is blocked for directional lanes; account/template matches registry row,Confirm V3D trade rows are stamped V3D only for V3D accounts and included in unified export,V3D directional lanes must not trade on HMM=Transition after the Phase 1 gate repair.
V3D,Bottom 4,,Sniper Pullbacks B,RTH,3 min candle,Sniper_V3D_B,SimV3D-NQ-4B,,,Sniper_V3D_B,V3D Sniper lane 4B,NQ primary; ES parallel only when ES test tabs are active,Sniper_V3D_B,RegimeMatrixHUD_V3D on NQ leader chart; ES leader chart when ES tests are active; DataFolderPath=C:\Users\Valued Customer\NT8_Regimes\V3D,LiveDataExporter NQ/ES; ValueAreaExporter NQ/ES; OrderFlowSetupScanner NQ/ES; HUDMessenger/HUDMessengerV1B compiled,NQ_1min_export.txt; ES_1min_export.txt; ValueArea_NQ.csv; ValueArea_ES.csv; Active\Footprint_Export.csv,V3D_START.bat; Start_V3D_StageA_Macro.bat; Start_V3D_StageB_HMM.bat; Start_V3D_StageC_Supervisor.bat,V3D\NQ_RegimeMatrix_Latest.csv; V3D\ES_RegimeMatrix_Latest.csv; V3D\TradeLog; UNIFIED\AllModels_TradeLog_YYYYMMDD.csv after EOD,Use V3D embedded strategy trade log or TradeLogExporter_V3D; model_version must be V3D; account must match SimV3D row,Stage A/B/C open; HUD fresh; strategy can see InstancesV3D; Transition is blocked for directional lanes; account/template matches registry row,Confirm V3D trade rows are stamped V3D only for V3D accounts and included in unified export,V3D directional lanes must not trade on HMM=Transition after the Phase 1 gate repair.
V3D,Top 5,,ADX DI A,ETH,3 min candle,ADX_DI_V3D,SimV3D-NQ-5A,,,ADX_DI_V3D,V3D ADX lane 5A,NQ primary; ES parallel only when ES test tabs are active,ADX_DI_V3D / ADXDIV3DB for B template,RegimeMatrixHUD_V3D on NQ leader chart; ES leader chart when ES tests are active; DataFolderPath=C:\Users\Valued Customer\NT8_Regimes\V3D,LiveDataExporter NQ/ES; ValueAreaExporter NQ/ES; OrderFlowSetupScanner NQ/ES; HUDMessenger/HUDMessengerV1B compiled,NQ_1min_export.txt; ES_1min_export.txt; ValueArea_NQ.csv; ValueArea_ES.csv; Active\Footprint_Export.csv,V3D_START.bat; Start_V3D_StageA_Macro.bat; Start_V3D_StageB_HMM.bat; Start_V3D_StageC_Supervisor.bat,V3D\NQ_RegimeMatrix_Latest.csv; V3D\ES_RegimeMatrix_Latest.csv; V3D\TradeLog; UNIFIED\AllModels_TradeLog_YYYYMMDD.csv after EOD,Use V3D embedded strategy trade log or TradeLogExporter_V3D; model_version must be V3D; account must match SimV3D row,Stage A/B/C open; HUD fresh; strategy can see InstancesV3D; Transition is blocked for directional lanes; account/template matches registry row,Confirm V3D trade rows are stamped V3D only for V3D accounts and included in unified export,V3D directional lanes must not trade on HMM=Transition after the Phase 1 gate repair.
V3D,Bottom 5,,ADX DI B,ETH,Uni 30-60-90,ADX_DI_V3D,SimV3D-NQ-5B,,,ADX_DI_V3D Uni,V3D ADX lane 5B,NQ primary; ES parallel only when ES test tabs are active,ADX_DI_V3D / ADXDIV3DB for B template,RegimeMatrixHUD_V3D on NQ leader chart; ES leader chart when ES tests are active; DataFolderPath=C:\Users\Valued Customer\NT8_Regimes\V3D,LiveDataExporter NQ/ES; ValueAreaExporter NQ/ES; OrderFlowSetupScanner NQ/ES; HUDMessenger/HUDMessengerV1B compiled,NQ_1min_export.txt; ES_1min_export.txt; ValueArea_NQ.csv; ValueArea_ES.csv; Active\Footprint_Export.csv,V3D_START.bat; Start_V3D_StageA_Macro.bat; Start_V3D_StageB_HMM.bat; Start_V3D_StageC_Supervisor.bat,V3D\NQ_RegimeMatrix_Latest.csv; V3D\ES_RegimeMatrix_Latest.csv; V3D\TradeLog; UNIFIED\AllModels_TradeLog_YYYYMMDD.csv after EOD,Use V3D embedded strategy trade log or TradeLogExporter_V3D; model_version must be V3D; account must match SimV3D row,Stage A/B/C open; HUD fresh; strategy can see InstancesV3D; Transition is blocked for directional lanes; account/template matches registry row,Confirm V3D trade rows are stamped V3D only for V3D accounts and included in unified export,V3D directional lanes must not trade on HMM=Transition after the Phase 1 gate repair.
V3D,Bottom 6,,ADX DI C,ETH,3 min candle,ADX_DI_V3D_C,SimV3D-NQ-5C,,,ADX_DI_V3D_C,V3D ADX lane 5C,NQ primary; ES parallel only when ES test tabs are active,ADX_DI_V3D_C,RegimeMatrixHUD_V3D on NQ leader chart; ES leader chart when ES tests are active; DataFolderPath=C:\Users\Valued Customer\NT8_Regimes\V3D,LiveDataExporter NQ/ES; ValueAreaExporter NQ/ES; OrderFlowSetupScanner NQ/ES; HUDMessenger/HUDMessengerV1B compiled,NQ_1min_export.txt; ES_1min_export.txt; ValueArea_NQ.csv; ValueArea_ES.csv; Active\Footprint_Export.csv,V3D_START.bat; Start_V3D_StageA_Macro.bat; Start_V3D_StageB_HMM.bat; Start_V3D_StageC_Supervisor.bat,V3D\NQ_RegimeMatrix_Latest.csv; V3D\ES_RegimeMatrix_Latest.csv; V3D\TradeLog; UNIFIED\AllModels_TradeLog_YYYYMMDD.csv after EOD,Use V3D embedded strategy trade log or TradeLogExporter_V3D; model_version must be V3D; account must match SimV3D row,Stage A/B/C open; HUD fresh; strategy can see InstancesV3D; Transition is blocked for directional lanes; account/template matches registry row,Confirm V3D trade rows are stamped V3D only for V3D accounts and included in unified export,V3D directional lanes must not trade on HMM=Transition after the Phase 1 gate repair.
